# category|name|defaultUnit (merged system seed)
장/양념/소스|굴소스|g
장/양념/소스|닭갈비양념|개
장/양념/소스|데미글라스|g
장/양념/소스|된장|개
장/양념/소스|들기름|개
장/양념/소스|들깨가루|개
장/양념/소스|라면스프|개
장/양념/소스|마요네즈|개
장/양념/소스|막걸리|개
장/양념/소스|맛술|개
장/양념/소스|머스타드|개
장/양념/소스|머스타드소스|개
장/양념/소스|물엿|g
장/양념/소스|미림|개
장/양념/소스|미소|개
장/양념/소스|발사믹글레이즈|g
장/양념/소스|불고기양념|개
장/양념/소스|설탕|개
장/양념/소스|소금|개
장/양념/소스|스리라차|g
장/양념/소스|식용유|개
장/양념/소스|식초|개
장/양념/소스|쌈장|개
장/양념/소스|액젓|g
장/양념/소스|올리고당|g
장/양념/소스|올리브|g
장/양념/소스|올리브유|개
장/양념/소스|우스터소스|개
장/양념/소스|참기름|개
장/양념/소스|참깨드레싱|g
장/양념/소스|청국장|개
장/양념/소스|청주|개
장/양념/소스|초고추장|g
장/양념/소스|치킨스톡|g
장/양념/소스|칠리소스|개
장/양념/소스|카레가루|개
장/양념/소스|케이퍼|g
장/양념/소스|케첩|개
장/양념/소스|콩기름|개
장/양념/소스|타바스코|g
장/양념/소스|페스토|g
장/양념/소스|포도씨유|개
장/양념/소스|피쉬소스|g
장/양념/소스|허브솔트|g
장/양념/소스|후추|개
정육/계란/가공육|닭가슴살|개
정육/계란/가공육|닭날개|개
정육/계란/가공육|닭볶음탕용|개
정육/계란/가공육|닭봉|개
정육/계란/가공육|돼지고기|개
정육/계란/가공육|등심|개
정육/계란/가공육|목살|개
정육/계란/가공육|미트볼|개
정육/계란/가공육|베이컨|개
정육/계란/가공육|비엔나소시지|개
정육/계란/가공육|삼겹살|개
정육/계란/가공육|소고기|개
정육/계란/가공육|소시지|개
정육/계란/가공육|스팸|개
정육/계란/가공육|안심|개
정육/계란/가공육|양지|개
정육/계란/가공육|오리가슴살|개
정육/계란/가공육|우삼겹|개
정육/계란/가공육|족발슬라이스|개
정육/계란/가공육|차돌박이|개
정육/계란/가공육|칠면조|개
정육/계란/가공육|햄|개
정육/계란/가공육|훈제오리|개
채소|가지|개
채소|감자|개
채소|강낭콩|개
채소|건고추|개
채소|고구마|개
채소|깻순|개
채소|깻잎|개
채소|꽈리고추|개
채소|느타리버섯|개
채소|당근|개
채소|대파|개
채소|도라지|개
채소|레디쉬|개
채소|로메인|개
채소|루꼴라|개
채소|리크|개
채소|마늘|개
채소|무|개
채소|미나리|개
채소|배추|개
채소|버섯|개
채소|브로콜리|개
채소|브뤼셀스프라우트|개
채소|비트|개
채소|상추|개
채소|새송이|개
채소|생강|개
채소|셀러리|개
채소|숙주|개
채소|숙주나물|개
채소|순무|개
채소|시금치|개
채소|쑥갓|개
채소|아스파라거스|개
채소|애호박|개
채소|양배추|개
채소|양파|개
채소|에다마메|개
채소|연근|개
채소|오이|개
채소|옥수수|개
채소|옥수수알|개
채소|완두콩|개
채소|우엉|개
채소|쪽파|개
채소|청경채|개
채소|청양고추|개
채소|치커리|개
채소|케일|개
채소|콩나물|개
채소|토마토|개
채소|파프리카|개
채소|팽이버섯|개
채소|피망|개
채소|호박|개
커피/음료|녹차가루|개
커피/음료|레몬에이드베이스|개
커피/음료|루이보스|개
커피/음료|바닐라시럽|개
커피/음료|보리차|개
커피/음료|보이차|개
커피/음료|소다워터|개
커피/음료|알로에음료|개
커피/음료|에스프레소원액|개
커피/음료|자몽에이드|개
커피/음료|초코시럽|개
커피/음료|코코넛워터|개
커피/음료|콜드브루|개
커피/음료|토닉워터|개
커피/음료|헤이즐넛시럽|개
커피/음료|히비스커스|개
통조림/즉석밥/면|리조또|개
통조림/즉석밥/면|베이크드빈|개
통조림/즉석밥/면|볶음밥|개
통조림/즉석밥/면|볶음우동|개
통조림/즉석밥/면|소바면|개
통조림/즉석밥/면|스팸라이트|개
통조림/즉석밥/면|쌀국수면|개
통조림/즉석밥/면|옥수수캔|개
통조림/즉석밥/면|완두캔|개
통조림/즉석밥/면|우동면|개
통조림/즉석밥/면|즉석밥|개
통조림/즉석밥/면|짜장면|개
통조림/즉석밥/면|참치캔|개
통조림/즉석밥/면|칼국수면|개
통조림/즉석밥/면|컵밥|개
통조림/즉석밥/면|팟타이면|개
